city,transmission,ownerNo,oem,model,modelYear,variantName,price,Registration Year,Fuel Type,Kms Driven,Engine Displacement,Mileage
Bangalore,Manual,3,Maruti,Maruti Celerio,2015,VXI,₹ 4 Lakh,2015,Petrol,"1,20,000 Kms",998 cc,23.1 kmpl
Bangalore,Manual,2,Ford,Ford Ecosport,2018,1.5 Petrol Titanium BSIV,₹ 8.11 Lakh,Feb 2018,Petrol,"32,706 Kms",1497 cc,17 kmpl
Bangalore,Manual,1,Tata,Tata Tiago,2018,1.2 Revotron XZ,₹ 5.85 Lakh,Sept 2018,Petrol,"11,949 Kms",1199 cc,23.84 kmpl
Bangalore,Manual,1,Hyundai,Hyundai Xcent,2014,1.2 Kappa S Option,₹ 4.62 Lakh,Dec 2014,Petrol,"17,794 Kms",1197 cc,19.1 kmpl
Bangalore,Manual,1,Maruti,Maruti SX4 S Cross,2015,DDiS 200 Zeta,₹ 7.90 Lakh,2015,Diesel,"60,000 Kms",1248 cc,23.65 kmpl
Bangalore,Manual,1,Jeep,Jeep Compass,2020,2.0 Longitude BSIV,₹ 19 Lakh,2020,Diesel,"20,000 Kms",1956 cc,17.1 kmpl
Bangalore,Manual,1,Datsun,Datsun GO,2017,T Option BSIV,₹ 3.45 Lakh,Aug 2017,Petrol,"37,772 Kms",1198 cc,20.63 kmpl
Bangalore,Automatic,1,Hyundai,Hyundai Venue,2021,SX Plus Turbo DCT BSIV,₹ 12 Lakh,2021,Petrol,"30,000 Kms",998 cc,18.15 kmpl
Bangalore,Automatic,1,Maruti,Maruti Ciaz,2018,Alpha Automatic BSIV,₹ 9.60 Lakh,Aug 2018,Petrol,"37,000 Kms",1462 cc,20.28 kmpl
Bangalore,Manual,1,Tata,Tata Tiago,2017,1.2 Revotron XZ WO Alloy,₹ 5.85 Lakh,Jan 2018,Petrol,"11,949 Kms",1199 cc,23.84 kmpl
Bangalore,Manual,1,Maruti,Maruti Baleno,2018,1.2 Delta,₹ 6.90 Lakh,2018,Petrol,"50,000 Kms",1197 cc,21.4 kmpl
Bangalore,Automatic,1,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Sportz Option AT,₹ 6.82 Lakh,May 2019,Petrol,"24,887 Kms",1197 cc,18.9 kmpl
Bangalore,Automatic,1,Honda,Honda Jazz,2018,VX CVT,₹ 8.25 Lakh,Oct 2018,Petrol,"23,000 Kms",1199 cc,18.2 kmpl
Bangalore,Automatic,1,Tata,Tata Tiago,2018,1.2 Revotron XZA,₹ 5.95 Lakh,Aug 2018,Petrol,"48,928 Kms",1199 cc,23.84 kmpl
