city,transmission,owner_no,brand,model,model_year,variant_name,price,registered_year,fuel_type,kms_driven,engine_cc,mileage_kmpl
bangalore,manual,3,maruti,maruti celerio,2015,vxi,400000.0,2015,petrol,120000,998,23.1
bangalore,manual,2,ford,ford ecosport,2018,1.5 petrol titanium bsiv,811000.0,2018,petrol,32706,1497,17.0
bangalore,manual,1,tata,tata tiago,2018,1.2 revotron xz,585000.0,2018,petrol,11949,1199,23.84
bangalore,manual,1,hyundai,hyundai xcent,2014,1.2 kappa s option,462000.0,2014,petrol,17794,1197,19.1
bangalore,manual,1,maruti,maruti sx4 s cross,2015,ddis 200 zeta,790000.0,2015,diesel,60000,1248,23.65
bangalore,manual,1,jeep,jeep compass,2020,2.0 longitude bsiv,1900000.0,2020,diesel,20000,1956,17.1
bangalore,manual,1,datsun,datsun go,2017,t option bsiv,345000.0,2017,petrol,37772,1198,20.63
bangalore,automatic,1,hyundai,hyundai venue,2021,sx plus turbo dct bsiv,1200000.0,2021,petrol,30000,998,18.15
bangalore,automatic,1,maruti,maruti ciaz,2018,alpha automatic bsiv,960000.0,2018,petrol,37000,1462,20.28
bangalore,manual,1,tata,tata tiago,2017,1.2 revotron xz wo alloy,585000.0,2018,petrol,11949,1199,23.84
bangalore,manual,1,maruti,maruti baleno,2018,1.2 delta,690000.0,2018,petrol,50000,1197,21.4
bangalore,automatic,1,hyundai,hyundai grand i10,2019,1.2 kappa sportz option at,682000.0,2019,petrol,24887,1197,18.9
bangalore,automatic,1,honda,honda jazz,2018,vx cvt,825000.0,2018,petrol,23000,1199,18.2
bangalore,automatic,1,tata,tata tiago,2018,1.2 revotron xza,595000.0,2018,petrol,48928,1199,23.84
bangalore,manual,3,mahindra,mahindra xuv500,2014,w6 2wd,690000.0,2014,diesel,108862,2179,15.1
bangalore,manual,1,jeep,jeep compass,2018,2.0 limited,1350000.0,2018,diesel,80000,1956,17.1
bangalore,automatic,1,mercedes-benz,mercedes-benz gla,2022,220d 4m bsvi,5595000.0,2022,diesel,16000,1950,14.916190476190483
bangalore,manual,2,hyundai,hyundai i20,2014,asta 1.4 crdi,521000.0,2014,diesel,65376,1396,21.27
bangalore,manual,1,tata,tata nexon,2022,xm plus s bsvi,1005000.0000000001,2022,petrol,10000,1199,17.33
bangalore,manual,2,honda,honda city,2016,i vtec v,775000.0,2016,petrol,67000,1497,17.8
bangalore,automatic,3,bmw,bmw 5 series,2011,520d sedan,2200000.0,2011,diesel,100000,1995,18.48
bangalore,manual,1,maruti,maruti swift,2016,vxi,582000.0,2016,petrol,18083,1197,22.38
bangalore,manual,1,renault,renault duster,2020,rxs,1090000.0,2020,petrol,30000,1498,16.42
bangalore,manual,2,tata,tata tiago,2016,1.2 revotron xz,457000.0,2016,petrol,57634,1199,23.84
bangalore,automatic,2,mercedes-benz,mercedes-benz s-class,2016,s 500 l,4900000.0,2016,petrol,50000,4663,7.81
bangalore,manual,1,honda,honda city,2015,i vtec v,550000.0,2015,petrol,110000,1497,17.4
bangalore,automatic,1,hyundai,hyundai santro,2018,sportz amt bsiv,570000.0,2018,petrol,23447,1086,20.3
bangalore,manual,2,hyundai,hyundai santro xing,2009,gls lpg,220000.00000000003,2009,lpg,30000,1086,13.45
