owner_no,brand,model_year,price,registered_year,kms_driven,engine_cc,mileage_kmpl,car_age,mileage_normalized,brand_popularity,age_group,high_mileage,city_chennai,city_delhi,city_hyderabad,city_jaipur,city_kolkata,transmission_manual,fuel_type_diesel,fuel_type_electric,fuel_type_lpg,fuel_type_petrol,variant_name_encoded,model_encoded
3,19,2015,0.038863351441704976,2015,0.0218002185131036,0.1879058441558442,0.12052362323201929,0.21052631578947367,0.06346321605117768,0.0687858479816197,2,1,False,False,False,False,False,True,False,False,False,True,424566.34688346885,440245.0331125828
2,6,2018,0.08180108650229836,2018,0.005928290683156181,0.289163961038961,0.07463135720734276,0.13157894736842105,0.07102355335853446,0.10475166742888264,1,0,False,False,False,False,False,True,False,False,False,True,787214.2857142857,683109.0909090909
1,29,2018,0.05819055578771417,2018,0.0021542213775198413,0.22869318181818185,0.12609088173337346,0.13157894736842105,0.10334399534748473,0.1076977624637566,1,1,False,False,False,False,False,True,False,False,False,True,470370.3703703704,521147.36842105264
1,9,2014,0.04534057668198914,2014,0.003216968166142687,0.2282873376623377,0.0904303340355101,0.23684210526315788,0.04484588543181157,0.08482158292756482,2,0,False,False,False,False,False,True,False,False,False,True,433500.0,432471.69811320753
1,19,2015,0.07960718763058922,2015,0.010890927269755317,0.23863636363636367,0.12466145049653926,0.21052631578947367,0.06519579335078027,0.0687858479816197,2,1,False,False,False,False,False,True,True,False,False,False,797000.0,837482.7586206896
1,12,2020,0.19557041370664438,2020,0.003618066440856459,0.3823051948051948,0.07538368943725551,0.07894736842105263,0.11189662692643211,0.2952229922792751,1,0,False,False,False,False,False,True,True,False,False,False,1323000.0,1693155.3398058251
1,4,2017,0.033117425825323864,2017,0.0068493985071362215,0.22849025974025977,0.10194101715317486,0.15789473684210525,0.07425019731649565,0.04377340327901827,1,0,False,False,False,False,False,True,False,False,False,True,345000.0,330733.3333333333
1,9,2021,0.12244045131633932,2021,0.005436281648081173,0.1879058441558442,0.08328317785133915,0.05263157894736842,0.1622201221285257,0.08482158292756482,1,0,False,False,False,False,False,False,False,False,False,True,1091833.3333333333,989975.0
1,19,2018,0.09736732135394902,2018,0.006709032293138474,0.2820616883116883,0.0993078543484803,0.13157894736842105,0.08652224483861588,0.0687858479816197,1,0,False,False,False,False,False,False,False,False,False,True,840000.0,695777.7777777778
1,29,2017,0.05819055578771417,2018,0.0021542213775198413,0.22869318181818185,0.12609088173337346,0.13157894736842105,0.10334399534748473,0.1076977624637566,1,1,False,False,False,False,False,True,False,False,False,True,557500.0,521147.36842105264
1,19,2018,0.06916005014625992,2018,0.009072712062530602,0.2282873376623377,0.10773397532350285,0.13157894736842105,0.09181448095376563,0.0687858479816197,1,0,False,False,False,False,False,True,False,False,False,True,545750.0,643665.5172413794
1,9,2019,0.06832427914751357,2019,0.004506628212627177,0.2282873376623377,0.08892566957568462,0.10526315789473684,0.09786275079965105,0.08482158292756482,1,0,False,False,False,False,False,False,False,False,False,True,610133.3333333334,472567.5675675676
1,8,2018,0.08326368575010447,2018,0.0041635310030238735,0.22869318181818185,0.08365934396629551,0.13157894736842105,0.07669380633905205,0.08789688391846587,1,0,False,False,False,False,False,False,False,False,False,True,901105.2631578947,581642.8571428572
1,29,2018,0.0592352695361471,2018,0.008877799392316114,0.22869318181818185,0.12609088173337346,0.13157894736842105,0.10334399534748473,0.1076977624637566,1,1,False,False,False,False,False,False,False,False,False,True,564000.0,521147.36842105264
3,16,2014,0.06916005014625992,2014,0.019775090415296716,0.4275568181818182,0.06033704483900091,0.23684210526315788,0.033505379470776385,0.1367672738537678,2,0,False,False,False,False,False,True,True,False,False,False,784500.0,992373.0158730159
1,12,2018,0.13811115754283326,2018,0.014527357684204746,0.3823051948051948,0.07538368943725551,0.13157894736842105,0.07149607444024426,0.2952229922792751,1,0,False,False,False,False,False,True,True,False,False,False,1262923.076923077,1693155.3398058251
1,20,2022,0.5815921437526118,2022,0.0028907803579665734,0.38108766233766234,0.058954186549732814,0.02631578947368421,0.2021414032318366,0.5468404912746022,0,0,False,False,False,False,False,False,True,False,False,False,5595000.0,3947500.0
